,BFV2AA,BFV2AB,BFV2AC,BFV2AMA,BFV2AMB,BFV2AMC,BFV2MA,BFV2MB,BFV2MC,BFV2NEGA,BFV2NEGAM,BFV2NEGM,BFXTAA,BFXTAB,BFXTAC,BFXTAMA,BFXTAMB,BFXTAMC,BFXTMA,BFXTMB,BFXTMC,BFXTNEGA,BFXTNEGAM,BFXTNEGM,HFV2AA,HFV2AB,HFV2AC,HFV2AMA,HFV2AMB,HFV2AMC,HFV2MA,HFV2MB,HFV2MC,HFV2NEGA,HFV2NEGAM,HFV2NEGM,HFXTAA,HFXTAB,HFXTAC,HFXTAMA,HFXTAMB,HFXTAMC,HFXTMA,HFXTMB,HFXTMC,HFXTNEGA,HFXTNEGAM,HFXTNEGM,MOV2AA,MOV2AB,MOV2AC,MOV2AMA,MOV2AMB,MOV2AMC,MOV2MA,MOV2MB,MOV2MC,MOV2NEGA,MOV2NEGAM,MOV2NEGM,MOXTAA,MOXTAB,MOXTAC,MOXTAMA,MOXTAMB,MOXTAMC,MOXTMA,MOXTMB,MOXTMC,MOXTNEGA,MOXTNEGAM,MOXTNEGM,SV2AA,SV2AB,SV2AC,SV2AMA,SV2AMB,SV2AMC,SV2MA,SV2MB,SV2MC,SV2NEGA,SV2NEGAM,SV2NEGM,SXTAA,SXTAB,SXTAC,SXTAMA,SXTAMB,SXTAMC,SXTMA,SXTMB,SXTMC,SXTNEGA,SXTNEGAM,SXTNEGM
gene:plasmid:88321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RICHNESS:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,25,2,2,1,10,8,14,32,28,30,0,22,29,0,4,3,18,17,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0

ICEberg|58|ICEBfrYCH46-1|GenBank|AP006841|114653..163822,0,0,0,0,1213,0,0,0,0,0,0,0,0,0,0,4537,0,0,0,1921,3269,0,0,0,0,0,0,1684,2186,1887,1674,2080,1766,50,36,0,586,445,0,1250,1269,1361,13000,16175,8180,0,48,25,0,0,0,22971,7879,23432,20798,14755,13733,215,187,134,1605,973,298,564,18125,17840,14487,24213,10262,395,384,364,0,0,0,0,0,0,0,0,173,0,0,0,57,0,0,0,0,50,0,102,82,0,0,0
ICEberg|107|TnB1230|GenBank|AJ222769|1..11849,0,0,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,107,0,574,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICEberg|65|CTnGERM1|GenBank|AJ557257|1..18842,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,170,120,0,575,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1045,1075,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:158140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
gene:plasmid:142382,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,2,0
gene:plasmid:135327,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:92420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,3,1,0,4,5,1,0,1,0,16,7,8,0,0,2,0,0,0,8,5,13,8,0,4,2,2,0,1,1,4,0,4,4,4,1,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
